,Player Name,Age,Pos,Ht,Wt,Ba,Th,Born Date,Place Of Birth,MLB Years,Team
0,Nick Anderson,31.121,P,6-4,205,R,R,1990-07-05,"Brainerd,MN",2019-2021,TB
1,Chris Archer,33.037,P,6-2,195,R,R,1988-09-26,"Clayton,NC",2012-2021,TB
2,Shane Baz,22.095,P,6-3,190,R,R,1999-06-17,"Cypress,TX",2021-2021,TB
3,J.T. Chargois,30.238,P,6-2,190,B,R,1990-12-03,"Sulphur,LA",2016-2021,TB
4,Yonny Chirinos,27.312,P,6-2,225,R,R,1993-12-26,"Bachaquero,VZ",2018-2020,TB
5,Peter Fairbanks,27.254,P,6-6,225,R,R,1993-12-16,"St. Louis,MO",2019-2021,TB
6,Calvin Faucher,26.058,P,6-1,170,B,R,1995-09-22,"Chula Vista,CA",,TB
7,JP Feyereisen,28.204,P,6-2,215,R,R,1993-02-07,"River Falls,WI",2020-2021,TB
8,Josh Fleming,25.129,P,6-2,220,R,L,1996-05-18,"Columbia,IL",2020-2021,TB
9,Tyler Glasnow,28.071,P,6-8,225,L,R,1993-08-23,"Newhall,CA",2016-2021,TB
10,Tommy Hunter,35.123,P,6-3,250,R,R,1986-07-03,"Indianapolis,IN",2008-2021,TB
11,Andrew Kittredge,31.195,P,6-1,230,R,R,1990-03-17,"Spokane,WA",2017-2021,TB
12,Shane McClanahan,24.143,P,6-1,200,L,L,1997-04-28,"Baltimore,MD",2021-2021,TB
13,Luis Patino,21.267,P,6-1,192,R,R,1999-10-28,"Barranquilla,CB",2020-2021,TB
14,Colin Poche,27.29,P,6-3,225,L,L,1994-01-17,"Flower Mound,TX",2019-2019,TB
15,Drew Rasmussen,25.332,P,6-1,211,R,R,1995-07-27,"Colbert,WA",2020-2021,TB
16,Chaz Roe,35.025,P,6-5,190,R,R,1986-10-09,"Lexington,KY",2013-2021,TB
17,Tommy Romero,24.134,P,6-2,225,L,R,1997-07-08,"Fort Lauderdale,FL",,TB
18,Ryan Thompson,29.133,P,6-5,210,R,R,1992-06-26,"Salem,OR",2020-2021,TB
19,Matt Wisler,29.017,P,6-3,215,R,R,1992-09-12,"Bryan,OH",2015-2021,TB
20,Ryan Yarbrough,29.23,P,6-6,205,L,L,1991-12-31,"Lakeland,FL",2018-2021,TB
21,Francisco Mejia,25.201,C-DH-,5-8,188,B,R,1995-10-27,"Bani,DR",2017-2021,TB
22,Rene Pinto,25.004,C-1B,5-10,180,R,R,1996-11-02,"Maracay,VZ",,TB
23,Ford Proctor,24.349,SS-C-,6-0,190,L,R,1996-12-04,"Beaumont,TX",,TB
24,Mike Zunino,30.227,C,6-2,235,R,R,1991-03-25,"Cape Coral,FL",2013-2021,TB
25,Jonathan Aranda,23.18,2B-1B,5-10,173,R,R,1998-05-23,"Tijuana,MX",,TB
26,Ji-Man Choi,30.112,1B-DH,6-1,260,L,R,1991-05-19,"Incheon,KR",2016-2021,TB
27,Wander Franco,20.266,SS-3B,5-10,190,B,R,2001-03-01,"Bani,DR",2021-2021,TB
28,Brandon Lowe,25.077,2B-RF,5-10,185,L,R,1994-07-06,"Suffolk,VA",2018-2021,TB
29,Joey Wendle,30.264,3B-2B,6-1,195,L,R,1990-04-26,"Lincoln University,PA",2016-2021,TB
30,Randy Arozarena,26.195,LF-RF,5-11,185,R,R,1995-02-28,"La Habana,CU",2019-2021,TB
31,Kevin Kiermaier,31.15,CF-DH,6-1,210,L,R,1990-04-22,"Fort Wayne,IN",2013-2021,TB
32,Jordan Luplow,28.01,LF-RF,6-1,195,R,R,1993-09-26,"Clovis,CA",2017-2021,TB
33,Manuel Margot,26.302,CF-rf,5-11,180,R,R,1994-09-28,"San Cristobal,DR",2016-2021,TB
34,Austin Meadows,25.149,LF-DH,6-3,225,L,L,1995-05-03,"Atlanta,GA",2018-2021,TB
35,Brett Phillips,27.105,RF-CF,6-0,195,L,R,1994-05-30,"Seminole,FL",2017-2021,TB
36,Yandy Diaz,29.052,3B-1B,6-2,215,R,R,1991-08-08,"Sagua La Grande,CU",2017-2021,TB
